participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
ae530e43-b855-4a82-95c2-5519e982786e,1,1,T3,psb,base-4-populacao-residente,slider,psbDepth,43.2,,2026-06-16T14:41:15.733Z
ae530e43-b855-4a82-95c2-5519e982786e,1,1,T3,psb,base-4-populacao-residente,slider,psbBreakStartRatio,0.5,,2026-06-16T14:41:16.957Z
ae530e43-b855-4a82-95c2-5519e982786e,1,1,T3,psb,base-4-populacao-residente,slider,psbBreakStartRatio,0.41,,2026-06-16T14:41:17.413Z
ae530e43-b855-4a82-95c2-5519e982786e,1,1,T3,psb,base-4-populacao-residente,slider,psbFoldVisualHeight,3.5,,2026-06-16T14:41:18.721Z
ae530e43-b855-4a82-95c2-5519e982786e,1,1,T3,psb,base-4-populacao-residente,slider,psbFoldVisualHeight,3.5,,2026-06-16T14:41:18.793Z
ae530e43-b855-4a82-95c2-5519e982786e,1,1,T3,psb,base-4-populacao-residente,zoom,canvas,zoomOut,3,2026-06-16T14:41:20.678Z
ae530e43-b855-4a82-95c2-5519e982786e,1,2,T3,worm,base-6-frota-motocicletas,slider,Limiar de Dobra,39.5,,2026-06-16T14:41:58.266Z
ae530e43-b855-4a82-95c2-5519e982786e,1,3,T3,scroll,base-5-receita-impostos,slider,Limiar de Dobra,32.8,,2026-06-16T14:42:14.866Z
ae530e43-b855-4a82-95c2-5519e982786e,1,3,T3,scroll,base-5-receita-impostos,slider,Limiar de Dobra,32.8,,2026-06-16T14:42:15.026Z
ae530e43-b855-4a82-95c2-5519e982786e,1,3,T3,scroll,base-5-receita-impostos,slider,Limiar de Dobra,32.8,,2026-06-16T14:42:15.073Z
ae530e43-b855-4a82-95c2-5519e982786e,1,3,T3,scroll,base-5-receita-impostos,slider,Limiar de Dobra,32.8,,2026-06-16T14:42:15.154Z
ae530e43-b855-4a82-95c2-5519e982786e,1,3,T3,scroll,base-5-receita-impostos,slider,Limiar de Dobra,32.8,,2026-06-16T14:42:15.225Z
ae530e43-b855-4a82-95c2-5519e982786e,1,3,T3,scroll,base-5-receita-impostos,slider,Limiar de Dobra,32.8,,2026-06-16T14:42:20.931Z
ae530e43-b855-4a82-95c2-5519e982786e,1,4,T3,bar,base-3-matriculas-fundamental,slider,Posição do break,0.47,,2026-06-16T14:42:36.702Z
ae530e43-b855-4a82-95c2-5519e982786e,1,4,T3,bar,base-3-matriculas-fundamental,slider,Dados escondidos,0.34,,2026-06-16T14:42:38.034Z
ae530e43-b855-4a82-95c2-5519e982786e,1,4,T3,bar,base-3-matriculas-fundamental,canvasMouseDown,canvas,635;105,,2026-06-16T14:42:40.067Z
ae530e43-b855-4a82-95c2-5519e982786e,1,4,T3,bar,base-3-matriculas-fundamental,canvasMouseUp,canvas,635;105,,2026-06-16T14:42:40.158Z
ae530e43-b855-4a82-95c2-5519e982786e,1,4,T3,bar,base-3-matriculas-fundamental,zoom,canvas,zoomOut,3,2026-06-16T14:42:41.013Z
ae530e43-b855-4a82-95c2-5519e982786e,1,4,T3,bar,base-3-matriculas-fundamental,slider,Dados escondidos,0.89,,2026-06-16T14:42:59.162Z
ae530e43-b855-4a82-95c2-5519e982786e,2,1,T1,worm,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-16T14:43:58.055Z
ae530e43-b855-4a82-95c2-5519e982786e,2,1,T1,worm,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-16T14:43:58.935Z
ae530e43-b855-4a82-95c2-5519e982786e,2,1,T1,worm,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-16T14:43:59.418Z
ae530e43-b855-4a82-95c2-5519e982786e,2,1,T1,worm,base-5-receita-impostos,slider,Limiar de Dobra,28,,2026-06-16T14:44:09.309Z
ae530e43-b855-4a82-95c2-5519e982786e,2,1,T1,worm,base-5-receita-impostos,zoom,canvas,zoomOut,2,2026-06-16T14:44:09.991Z
ae530e43-b855-4a82-95c2-5519e982786e,2,1,T1,worm,base-5-receita-impostos,zoom,canvas,zoomIn,5,2026-06-16T14:44:10.473Z
ae530e43-b855-4a82-95c2-5519e982786e,2,1,T1,worm,base-5-receita-impostos,zoom,canvas,zoomIn,2,2026-06-16T14:44:11.026Z
ae530e43-b855-4a82-95c2-5519e982786e,2,2,T1,psb,base-6-frota-motocicletas,slider,psbDepth,3.2,,2026-06-16T14:44:43.242Z
ae530e43-b855-4a82-95c2-5519e982786e,2,3,T1,scroll,base-1-pib,slider,Limiar de Dobra,58.7,,2026-06-16T14:45:03.833Z
